pitch,roll,yawRate,distanceCM,pressureDeltaPa,isDriving,gForce,smoothedTotalEnergy,label_isHandling,label_isFreeFalling,label_hazardDetected,label_isImpactDetected
-5.123,-1.728,0.003,219.67,0.19,0,1.039,0.212,0,0,0,0
-5.123,-1.728,0.003,219.67,0.19,0,1.039,0.212,0,0,0,0
-5.123,-1.726,-0.001,219.67,0.06,0,1.05,0.174,0,0,0,0
-5.123,-1.726,-0.001,219.67,0.06,0,1.05,0.174,0,0,0,0
-5.122,-1.726,0.001,219.7,-0.17,0,1.03,0.194,0,0,0,0
-5.122,-1.726,0.001,219.7,-0.17,0,1.03,0.194,0,0,0,0
-5.122,-1.726,0.001,219.7,-0.17,0,1.03,0.194,0,0,0,0
-5.122,-1.726,0.001,219.7,-0.17,0,1.03,0.194,0,0,0,0
-5.123,-1.726,-0.002,219.7,-0.17,0,1.036,0.194,0,0,0,0
-5.123,-1.726,-0.002,219.7,-0.17,0,1.036,0.194,0,0,0,0
-5.123,-1.726,-0.002,219.7,-0.17,0,1.036,0.194,0,0,0,0
-5.119,-1.73,0.002,219.7,0.2,0,1.03,0.205,0,0,0,0
-5.119,-1.73,0.002,219.7,0.2,0,1.03,0.205,0,0,0,0
-5.119,-1.73,0.002,219.7,0.2,0,1.03,0.205,0,0,0,0
-5.121,-1.733,0.001,219.7,0.2,0,1.045,0.205,0,0,0,0
-5.121,-1.733,0.001,219.7,0.2,0,1.045,0.219,0,0,0,0
-5.121,-1.733,0.001,219.7,0.2,0,1.045,0.219,0,0,0,0
-5.121,-1.733,0.001,219.7,0.2,0,1.045,0.219,0,0,0,0
-5.114,-1.738,-0.002,219.7,-0.17,0,1.039,0.252,0,0,0,0
-5.114,-1.738,-0.002,219.7,-0.17,0,1.039,0.252,0,0,0,0
-5.114,-1.738,-0.002,219.7,-0.17,0,1.039,0.252,0,0,0,0
-5.112,-1.741,0,219.67,0,0,1.031,0.24,0,0,0,0
-5.112,-1.741,0,219.67,0,0,1.031,0.24,0,0,0,0
-5.111,-1.742,-0.001,220.14,0.02,0,1.036,0.24,0,0,0,0
-5.111,-1.742,-0.001,220.14,0.02,0,1.036,0.24,0,0,0,0
-5.111,-1.742,-0.001,220.14,0.02,0,1.036,0.24,0,0,0,0
-5.111,-1.742,-0.001,220.14,0.02,0,1.036,0.24,0,0,0,0
-5.11,-1.744,-0.001,220.14,0.02,0,1.036,0.211,0,0,0,0
-5.11,-1.744,-0.001,220.14,0.02,0,1.036,0.211,0,0,0,0
-5.11,-1.744,-0.001,220.14,0.02,0,1.036,0.211,0,0,0,0
-5.107,-1.742,0,220.14,-0.16,0,1.037,0.211,0,0,0,0
-5.107,-1.742,0,220.14,-0.16,0,1.037,0.211,0,0,0,0
-5.107,-1.742,0,220.14,-0.16,0,1.037,0.204,0,0,0,0
-5.107,-1.736,0,228.11,0.2,0,1.029,0.204,0,0,0,0
-5.107,-1.736,0,228.11,0.2,0,1.029,0.204,0,0,0,0
-5.107,-1.736,0,228.11,0.2,0,1.029,0.204,0,0,0,0
-5.109,-1.733,0.001,220.14,-0.17,0,1.044,0.22,0,0,0,0
-5.109,-1.733,0.001,220.14,-0.17,0,1.044,0.22,0,0,0,0
-5.109,-1.733,0.001,220.14,-0.17,0,1.044,0.22,0,0,0,0
-5.109,-1.73,0,226.79,-0.16,0,1.04,0.22,0,0,0,0
-5.109,-1.73,0,226.79,-0.16,0,1.04,0.2,0,0,0,0
-5.109,-1.73,0,226.79,-0.16,0,1.04,0.2,0,0,0,0
-5.109,-1.73,0,226.79,-0.16,0,1.04,0.2,0,0,0,0
-5.109,-1.733,-0.001,220.12,0.36,0,1.041,0.2,0,0,0,0
-5.109,-1.733,-0.001,220.12,0.36,0,1.041,0.2,0,0,0,0
-5.109,-1.733,-0.001,220.12,0.36,0,1.041,0.2,0,0,0,0
-5.107,-1.73,0,220.12,0.36,0,1.039,0.173,0,0,0,0
-5.107,-1.73,0,220.12,0.36,0,1.039,0.173,0,0,0,0
-5.107,-1.73,0,220.12,0.36,0,1.039,0.173,0,0,0,0
-5.107,-1.73,0,220.12,0.36,0,1.039,0.173,0,0,0,0
-5.102,-1.729,-0.001,220.12,-0.17,0,1.035,0.173,0,0,0,0
-5.102,-1.729,-0.001,220.12,-0.17,0,1.035,0.173,0,0,0,0
-5.102,-1.729,-0.001,220.12,-0.17,0,1.035,0.173,0,0,0,0
-5.102,-1.729,0.001,219.68,0,0,1.036,0.191,0,0,0,0
-5.102,-1.729,0.001,219.68,0,0,1.036,0.191,0,0,0,0
-5.102,-1.729,0.001,219.68,0,0,1.036,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.099,-1.726,0,219.67,0.38,0,1.042,0.191,0,0,0,0
-5.105,-1.733,0.002,220.12,0,0,1.048,0.165,0,0,0,0
-5.105,-1.733,0.002,220.12,0,0,1.048,0.165,0,0,0,0
-5.105,-1.733,0.002,220.12,0,0,1.048,0.165,0,0,0,0
-5.111,-1.736,0,227.65,0,0,1.038,0.165,0,0,0,0
-5.111,-1.736,0,227.65,0,0,1.038,0.165,0,0,0,0
-5.111,-1.736,0,227.65,0,0,1.038,0.165,0,0,0,0
-5.108,-1.734,-0.001,227.65,0,0,1.035,0.165,0,0,0,0
-5.108,-1.734,-0.001,227.65,0,0,1.035,0.165,0,0,0,0
-5.108,-1.734,-0.001,227.65,0,0,1.035,0.165,0,0,0,0
-5.11,-1.734,0.001,227.65,0.17,0,1.035,0.165,0,0,0,0
-5.11,-1.734,0.001,227.65,0.17,0,1.035,0.165,0,0,0,0
-5.109,-1.73,-0.002,227.65,0.17,0,1.029,0.165,0,0,0,0
-5.113,-1.726,-0.001,228.04,0,0,1.034,0.208,0,0,0,0
-5.113,-1.726,-0.001,228.04,0,0,1.034,0.208,0,0,0,0
-5.113,-1.726,-0.001,228.04,0,0,1.034,0.208,0,0,0,0
-5.116,-1.725,0,228.07,0,0,1.038,0.208,0,0,0,0
-5.116,-1.725,0,228.07,0,0,1.038,0.208,0,0,0,0
-5.116,-1.725,0,228.07,0,0,1.038,0.208,0,0,0,0
-5.114,-1.725,-0.001,228.07,0,0,1.045,0.208,0,0,0,0
-5.114,-1.725,-0.001,228.07,0,0,1.045,0.208,0,0,0,0
